lng,lat
-95.57,29.87
-75.7,40.0
-97.3,26.0
-80.4,25.9
-74.01,40.86
-83.9,41.6
-78.2,38.1
-93.6,43.1
-97.3,26.0
-83.9,41.6
-80.4,25.9
-80.3,25.78
-79.99,42.17
-77.5,37.8
-86.2,44.2
-80.4,25.9
-87.91,43.07
-80.37,25.85
-81.17,32.04
-80.09,26.66
-95.3,29.74
-78.87,42.88
-82.12,34.91
-82.12,34.91
-71.1,44.3
-80.09,26.66
-87.87,42.95
-80.23,25.8
-86.5,36.6
-76.38,36.88
-99.6,27.8
-81.18,32.18
-82.12,34.91
-81.18,32.18
-117.58,34.1
-87.82,42.73
-78.3,39.2
-96.6,33.76
-84.3,41.5
-86.7,41.6
-84.0,41.1
-81.2,35.7
-73.97,40.6
-75.11,39.99
-76.19,40.73
-75.79,42.06
-77.47,38.99
-95.7,36.2
-122.34,47.57
-76.72,39.17
-73.99,40.75
-121.3,38.9
-83.14,40.12
-76.72,39.17
-81.18,32.18
-81.25,32.11
-74.28,40.61
-74.17,40.7
-75.6,39.6
-106.4,31.81
-80.45,25.7
-85.2,34.7
-80.27,26.14
-95.45,29.74
-76.5,39.26
-84.32,33.65
-80.23,25.8
-95.45,30.0
-88.1,42.97
-97.29,32.97
-81.57,41.57
-82.38,27.9
-80.37,25.85
-84.5,33.6
-84.1,34.07
-84.23,33.89
-76.39,37.01
-95.11,29.78
-74.23,40.58
-90.9,38.8
-82.12,34.91
-86.57,36.02
-71.44,41.92
-75.6,38.6
-71.1,44.3
-81.92,41.44
-81.92,41.44
-71.1,44.3
-98.52,33.95
-90.1,29.93
-85.9,39.0
-76.38,36.88
-94.9,32.4
-81.3,28.8
-95.03,29.58
-95.04,29.69
-89.85,35.01
-80.09,26.66
-81.5,30.5
-94.57,39.15
-119.82,36.76
-76.72,39.17
-81.73,30.35
-94.57,39.15
-71.1,44.3
-76.24,39.48
-76.5,39.26
-97.6,26.1
-118.4,33.96
-80.3,25.78
-82.22,33.47
-80.19,25.78
-80.31,25.82
-82.52,27.4
-96.82,46.85
-112.2,41.2
-80.4,25.9
-90.4,45.7
-106.9,44.8
-80.36,25.79
-81.91,28.04
-80.4,25.9
-90.5,30.1
-76.24,39.48
-80.36,25.79
-71.1,44.3
-95.89,36.1
-88.4,41.4
-87.637,41.882
-80.09,26.66
-88.03,42.08
-106.4,31.81
-95.15,29.84
-80.09,26.66
-92.7,47.4
-94.52,39.13
-81.9,28.6
-85.7,38.33
-82.12,34.91
-91.92,30.12
-71.1,44.3
-88.01,43.02
-71.1,44.3
-95.89,36.1
-80.32,25.8
-95.03,29.58
-117.99,34.04
-97.07,32.94
-95.25,29.76
-76.64,39.16
-122.3,37.81
-75.33,40.67
-94.52,39.13
